Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:00.00,00:04:57.00,0.76,--,--,0:06:37  ,0:06:33  ,0:05:18  ,127.0,146.0,--,46
2,00:30:00.00,00:29:51.00,4.3,16,16,0:06:58  ,0:06:56  ,0:05:43  ,144.0,151.0,--,325
3,00:05:00.00,00:05:00.00,0.57,--,2,0:08:44  ,0:08:44  ,0:07:38  ,144.0,155.0,--,47
4,00:01:30.564,00:01:25.00,0.18,--,--,0:08:33  ,0:08:02  ,0:07:06  ,137.0,142.0,--,11
Summary,00:41:30.564,00:41:13.00,5.8,16,18,0:07:09  ,0:07:06  ,0:05:18  ,142.0,155.0,--,429
